spot,flat_65_vol_bermudan.csv,BS_vol_surface_expire_bermudan.csv,BS_vol_surface_expire_contin.csv,local_vol_expiry_bermudan.csv,local_vol_expiry_contin.csv,local_vol_t_bermudan.csv,local_vol_t_contin.csv
1.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0
59.61046,14940.824,14939.917,14940.005,14940.254,14940.213,14940.265,14940.271
118.22092,14882.118,14881.613,14881.566,14881.618,14881.619,14881.567,14881.616
176.83138,14823.708,14823.072,14823.072,14822.848,14822.914,14823.014,14823.066
235.44183,14765.604,14764.407,14764.441,14764.411,14764.407,14764.406,14764.469
294.0523,14707.839,14705.857,14705.811,14705.866,14705.981,14705.829,14705.856
352.66275,14650.431,14647.315,14647.216,14647.209,14647.336,14647.247,14647.236
411.2732,14593.398,14588.643,14588.577,14588.683,14588.661,14588.577,14588.609
469.88367,14536.753,14530.011,14529.953,14530.054,14530.055,14529.942,14529.967
528.49414,14480.505,14471.311,14471.261,14471.37,14471.378,14471.321,14471.333
587.1046,14424.649,14412.636,14412.593,14412.734,14412.697,14412.682,14412.695
645.715,14369.194,14353.968,14353.92,14354.072,14354.051,14354.021,14354.05
704.3255,14314.141,14295.309,14295.246,14295.427,14295.37,14295.392,14295.422
762.936,14259.4795,14236.665,14236.614,14236.75,14236.743,14236.788,14236.782
821.5464,14205.21,14178.016,14178.004,14178.042,14178.063,14178.168,14178.17
880.15686,14151.321,14119.416,14119.382,14119.399,14119.402,14119.534,14119.554
938.76733,14097.817,14060.804,14060.807,14060.727,14060.734,14060.924,14060.934
997.3778,14044.687,14002.261,14002.252,14002.096,14002.087,14002.3,14002.313
1055.9883,13991.93,13943.746,13943.745,13943.487,13943.464,13943.6875,13943.707
1114.5988,13939.528,13885.225,13885.213,13884.867,13884.865,13885.089,13885.096
1173.2092,13887.484,13826.723,13826.706,13826.308,13826.287,13826.481,13826.488
1231.8196,13835.795,13768.205,13768.189,13767.723,13767.711,13767.878,13767.887
1290.43,13784.444,13709.683,13709.687,13709.161,13709.161,13709.27,13709.267
1349.0405,13733.439,13651.201,13651.198,13650.595,13650.614,13650.67,13650.676
1407.651,13682.748,13592.739,13592.743,13592.039,13592.084,13592.084,13592.099
1466.2615,13632.391,13534.292,13534.299,13533.494,13533.512,13533.506,13533.515
1524.872,13582.34,13475.864,13475.858,13474.952,13474.938,13474.933,13474.941
1583.4824,13532.612,13417.462,13417.475,13416.384,13416.375,13416.365,13416.375
1642.0928,13483.174,13359.098,13359.116,13357.818,13357.833,13357.802,13357.814
1700.7032,13434.038,13300.772,13300.809,13299.279,13299.309,13299.255,13299.27
1759.3137,13385.197,13242.491,13242.518,13240.738,13240.79,13240.71,13240.73
1817.9242,13336.632,13184.269,13184.262,13182.22,13182.278,13182.18,13182.202
1876.5347,13288.352,13126.089,13126.054,13123.711,13123.75,13123.662,13123.671
1935.1451,13240.34,13067.943,13067.9,13065.204,13065.237,13065.147,13065.172
1993.7556,13192.598,13009.842,13009.812,13006.723,13006.753,13006.665,13006.689
2052.366,13145.122,12951.808,12951.778,12948.25,12948.275,12948.202,12948.227
2110.9766,13097.8955,12893.83,12893.806,12889.793,12889.814,12889.761,12889.79
2169.587,13050.926,12835.918,12835.906,12831.3545,12831.375,12831.345,12831.374
2228.1975,13004.209,12778.07,12778.058,12772.942,12772.956,12772.953,12772.974
2286.8079,12957.727,12720.295,12720.286,12714.556,12714.559,12714.589,12714.606
2345.4185,12911.48,12662.592,12662.585,12656.202,12656.204,12656.252,12656.2705
2404.0288,12865.475,12604.971,12604.964,12597.869,12597.867,12597.954,12597.973
2462.6392,12819.696,12547.434,12547.42,12539.565,12539.567,12539.685,12539.705
2521.2498,12774.132,12489.9795,12489.957,12481.295,12481.304,12481.454,12481.476
2579.86,12728.796,12432.623,12432.592,12423.068,12423.086,12423.264,12423.292
2638.4707,12683.672,12375.354,12375.336,12364.881,12364.8955,12365.117,12365.143
2697.081,12638.761,12318.188,12318.179,12306.732,12306.745,12307.014,12307.042
2755.6917,12594.056,12261.128,12261.114,12248.637,12248.639,12248.962,12248.989
2814.302,12549.548,12204.171,12204.157,12190.589,12190.585,12190.965,12190.987
2872.9124,12505.247,12147.323,12147.304,12132.598,12132.585,12133.0205,12133.042
2931.523,12461.137,12090.578,12090.5625,12074.651,12074.646,12075.133,12075.154
2990.1333,12417.231,12033.957,12033.9375,12016.771,12016.758,12017.307,12017.324
3048.744,12373.501,11977.455,11977.428,11958.94,11958.943,11959.548,11959.564
3107.3542,12329.967,11921.069,11921.034,11901.177,11901.1875,11901.852,11901.871
3165.9648,12286.61,11864.812,11864.776,11843.481,11843.499,11844.227,11844.245
3224.5752,12243.433,11808.68,11808.64,11785.8545,11785.881,11786.678,11786.693
3283.1855,12200.441,11752.676,11752.634,11728.299,11728.335,11729.201,11729.221
3341.7961,12157.619,11696.811,11696.764,11670.825,11670.864,11671.81,11671.829
3400.4065,12114.966,11641.075,11641.025,11613.429,11613.477,11614.5,11614.517
3459.017,12072.473,11585.484,11585.431,11556.123,11556.176,11557.275,11557.292
3517.6274,12030.148,11530.036,11529.979,11498.899,11498.95,11500.142,11500.16
3576.238,11987.985,11474.723,11474.666,11441.753,11441.81,11443.1045,11443.122
3634.8484,11945.991,11419.553,11419.502,11384.697,11384.762,11386.159,11386.178
3693.459,11904.143,11364.54,11364.484,11327.753,11327.8125,11329.318,11329.335
3752.0693,11862.451,11309.677,11309.617,11270.9,11270.962,11272.587,11272.595
3810.6797,11820.901,11254.964,11254.906,11214.152,11214.206,11215.956,11215.967
3869.2903,11779.516,11200.41,11200.351,11157.508,11157.56,11159.432,11159.442
3927.9006,11738.271,11146.011,11145.948,11100.968,11101.018,11103.02,11103.026
3986.5112,11697.168,11091.767,11091.706,11044.54,11044.589,11046.723,11046.729
4045.1216,11656.216,11037.687,11037.626,10988.219,10988.27,10990.542,10990.554
4103.732,11615.397,10983.777,10983.709,10932.0205,10932.071,10934.485,10934.497
4162.343,11574.711,10930.021,10929.953,10875.9375,10875.988,10878.555,10878.565
4220.953,11534.16,10876.447,10876.367,10819.97,10820.029,10822.752,10822.76
4279.5635,11493.748,10823.04,10822.955,10764.134,10764.195,10767.078,10767.089
4338.174,11453.475,10769.804,10769.711,10708.42,10708.485,10711.538,10711.55
4396.784,11413.324,10716.743,10716.64,10652.837,10652.905,10656.14,10656.149
4455.395,11373.292,10663.85,10663.744,10597.39,10597.455,10600.874,10600.88
4514.0054,11333.396,10611.137,10611.022,10542.075,10542.143,10545.753,10545.754
4572.6157,11293.619,10558.607,10558.483,10486.898,10486.967,10490.776,10490.773
4631.226,11253.97,10506.254,10506.121,10431.859,10431.928,10435.952,10435.939
4689.837,11214.431,10454.076,10453.944,10376.964,10377.03,10381.2705,10381.254
4748.4473,11175.021,10402.083,10401.946,10322.213,10322.28,10326.746,10326.725
4807.0576,11135.728,10350.274,10350.13,10267.609,10267.682,10272.373,10272.353
4865.668,11096.564,10298.651,10298.501,10213.158,10213.228,10218.159,10218.135
4924.2783,11057.488,10247.215,10247.059,10158.86,10158.93,10164.104,10164.077
4982.889,11018.546,10195.964,10195.798,10104.712,10104.783,10110.211,10110.182
5041.4995,10979.703,10144.904,10144.732,10050.724,10050.797,10056.484,10056.452
5100.11,10940.984,10094.032,10093.852,9996.897,9996.972,10002.926,10002.889
5158.72,10902.366,10043.351,10043.161,9943.233,9943.311,9949.536,9949.495
5217.3306,10863.857,9992.86,9992.663,9889.7295,9889.813,9896.316,9896.272
5275.9414,10825.453,9942.558,9942.353,9836.395,9836.4795,9843.272,9843.223
5334.552,10787.147,9892.455,9892.236,9783.228,9783.318,9790.402,9790.349
5393.162,10748.952,9842.54,9842.312,9730.2295,9730.323,9737.711,9737.649
5451.7725,10710.845,9792.822,9792.583,9677.404,9677.504,9685.196,9685.131
5510.3833,10672.84,9743.297,9743.047,9624.753,9624.853,9632.863,9632.798
5568.9937,10634.934,9693.971,9693.706,9572.279,9572.38,9580.714,9580.642
5627.604,10597.133,9644.838,9644.563,9519.985,9520.088,9528.754,9528.677
